Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR
06/11/04,Bochum,Kaiserslautern,1,1,D,0,1,A,19,17,21,28,5,6,2,2,0,0
06/11/04,Hertha,Werder Bremen,1,1,D,0,0,D,10,6,24,19,6,2,2,3,0,0
06/11/04,Leverkusen,Freiburg,4,1,H,0,1,A,29,14,19,20,4,3,2,5,0,1
06/11/04,Mainz,M'gladbach,1,1,D,0,1,A,17,5,8,21,7,2,2,1,0,0
06/11/04,Nurnberg,Wolfsburg,4,0,H,3,0,H,14,6,18,7,6,5,3,1,0,1
07/11/04,Hamburg,Schalke 04,1,2,A,0,0,D,13,19,26,19,1,5,2,1,0,0
07/11/04,Stuttgart,Hansa Rostock,4,0,H,2,0,H,15,12,12,19,4,9,1,2,0,0
13/11/04,Freiburg,Bielefeld,2,3,A,2,2,D,12,9,21,21,5,2,1,2,0,0
13/11/04,Hannover,Mainz,2,0,H,1,0,H,14,11,19,11,9,5,2,1,0,0
13/11/04,Kaiserslautern,Dortmund,1,0,H,0,0,D,15,18,14,25,5,7,1,2,0,0
13/11/04,M'gladbach,Nurnberg,2,1,H,1,0,H,8,16,26,15,7,6,2,2,0,0
13/11/04,Schalke 04,Hertha,1,3,A,0,1,A,17,13,9,23,7,5,0,2,0,0
13/11/04,Werder Bremen,Leverkusen,2,2,D,1,0,H,18,10,17,11,11,1,2,1,0,0
13/11/04,Wolfsburg,Stuttgart,3,0,H,1,0,H,13,10,17,17,3,4,3,3,0,0
14/11/04,Bochum,Bayern Munich,1,3,A,0,0,D,6,20,23,19,3,5,3,2,0,0
14/11/04,Hansa Rostock,Hamburg,0,6,A,0,3,A,10,12,16,17,1,5,3,2,0,0
20/11/04,Bayern Munich,Kaiserslautern,3,1,H,2,1,H,28,9,14,23,11,2,2,3,0,0
20/11/04,Bielefeld,Werder Bremen,2,1,H,1,0,H,14,15,13,20,2,9,1,1,0,1
20/11/04,Dortmund,Freiburg,2,0,H,1,0,H,19,15,16,23,5,8,2,3,0,0
20/11/04,Hertha,Hansa Rostock,1,1,D,0,1,A,30,8,12,26,8,3,1,4,0,0
20/11/04,Leverkusen,Schalke 04,0,3,A,0,2,A,15,12,16,18,7,6,0,0,0,0
20/11/04,Mainz,Bochum,1,0,H,1,0,H,24,10,14,22,6,3,1,4,0,1
20/11/04,Stuttgart,M'gladbach,1,0,H,0,0,D,17,9,20,14,2,5,3,4,0,0
21/11/04,Hamburg,Wolfsburg,3,1,H,2,1,H,19,6,18,19,7,3,1,3,0,1
21/11/04,Nurnberg,Hannover,1,1,D,0,0,D,14,7,16,13,1,6,1,0,0,0
27/11/04,Bayern Munich,Mainz,4,2,H,3,0,H,15,18,20,13,7,4,1,1,0,0
27/11/04,Bochum,Nurnberg,3,1,H,2,0,H,13,22,19,24,4,7,2,2,0,0
27/11/04,Hansa Rostock,Leverkusen,0,2,A,0,1,A,14,9,13,13,8,5,2,2,0,0
27/11/04,Kaiserslautern,Freiburg,3,0,H,1,0,H,16,9,26,23,3,6,0,1,0,0
27/11/04,M'gladbach,Hamburg,1,3,A,0,2,A,21,11,22,25,4,5,4,4,0,1
27/11/04,Werder Bremen,Dortmund,2,0,H,1,0,H,16,13,21,28,8,2,1,2,0,0
27/11/04,Wolfsburg,Hertha,2,3,A,0,1,A,16,10,15,24,6,1,1,0,0,0
28/11/04,Hannover,Stuttgart,0,0,D,0,0,D,13,12,13,15,6,2,0,3,0,0
28/11/04,Schalke 04,Bielefeld,2,1,H,2,1,H,15,15,23,21,3,3,1,3,0,0
04/12/04,Bielefeld,Hansa Rostock,1,1,D,0,0,D,23,5,14,38,7,2,1,5,0,0
04/12/04,Freiburg,Werder Bremen,0,6,A,0,3,A,9,15,15,19,2,6,1,0,0,0
04/12/04,Hamburg,Hannover,0,2,A,0,1,A,19,7,12,24,7,2,2,1,0,0
04/12/04,Hertha,M'gladbach,6,0,H,1,0,H,20,17,19,10,7,0,2,1,0,0
04/12/04,Leverkusen,Wolfsburg,2,1,H,0,1,A,14,9,22,23,4,5,0,2,0,0
04/12/04,Nurnberg,Bayern Munich,2,2,D,1,1,D,9,17,18,14,1,12,4,2,1,0
04/12/04,Stuttgart,Bochum,5,2,H,2,1,H,16,16,22,22,3,6,1,1,0,0
05/12/04,Dortmund,Schalke 04,0,1,A,0,1,A,13,10,22,19,9,4,3,2,0,0
05/12/04,Kaiserslautern,Mainz,2,0,H,1,0,H,19,19,22,13,4,2,2,4,0,0
11/12/04,Bayern Munich,Stuttgart,2,2,D,0,1,A,10,9,27,25,2,2,4,2,0,0
